Lat,Lng,Depth,Mag,Sig,Place,Time,Month,Day,Year,Country
29.651,129.27,156.5,5.2,416,"Ryukyu Islands, Japan",2011-01-20 11:36:41.760,1,20,2011,JP
17.234,-63.20399999999999,168.2,5.0,418,"Saint Kitts and Nevis region, Leeward Islands",2011-01-21 03:37:16.710,1,21,2011,BQ
27.164,143.483,10.0,5.1,400,"Bonin Islands, Japan region",2011-01-21 06:32:22.760,1,21,2011,JP
27.133000000000003,143.47,10.0,5.2,416,"Bonin Islands, Japan region",2011-01-21 08:12:30.960,1,21,2011,JP
-5.107,154.033,129.1,5.0,385,"Bougainville region, Papua New Guinea",2011-01-21 13:03:58.910,1,21,2011,PG
-33.967,-72.243,11.6,5.0,386,"offshore Libertador O'Higgins, Chile",2011-01-21 15:36:09.000,1,21,2011,CL
17.958,147.428,52.2,5.2,416,Mariana Islands region,2011-01-21 16:40:45.770,1,21,2011,MP
-19.047,-176.54,10.0,5.1,400,Fiji region,2011-01-21 17:11:34.880,1,21,2011,TO
11.584000000000001,-86.287,93.9,5.2,468,near the coast of Nicaragua,2011-01-21 17:18:19.540,1,21,2011,NI
15.216,-104.47399999999999,10.0,5.4,449,"off the coast of Michoacan, Mexico",2011-01-22 01:27:29.330,1,22,2011,MX
-12.149000000000001,-73.06,33.5,5.0,385,central Peru,2011-01-22 02:06:51.710,1,22,2011,PE
42.36,142.895,62.1,5.1,400,"Hokkaido, Japan region",2011-01-22 05:49:02.450,1,22,2011,JP
2.887,95.521,28.3,5.2,416,"Simeulue, Indonesia",2011-01-22 07:34:17.490,1,22,2011,ID
2.903,95.516,24.0,5.6,482,"Simeulue, Indonesia",2011-01-22 07:38:56.510,1,22,2011,ID
-0.491,132.576,35.1,5.1,400,"near the north coast of Papua, Indonesia",2011-01-22 13:21:28.160,1,22,2011,ID
63.542,-150.8652,15.7,5.2,501,Central Alaska,2011-01-23 02:50:04.629,1,23,2011,US
-4.247,102.141,56.0,5.3,432,"southern Sumatra, Indonesia",2011-01-23 09:05:35.930,1,23,2011,ID
-34.998000000000005,-72.378,35.0,5.1,403,"offshore Maule, Chile",2011-01-23 09:58:59.880,1,23,2011,CL
26.815,144.10299999999998,10.0,5.0,385,"Bonin Islands, Japan region",2011-01-23 10:58:26.200,1,23,2011,JP
26.805,144.143,10.0,5.0,385,"Bonin Islands, Japan region",2011-01-23 12:46:37.890,1,23,2011,JP
-20.335,-176.292,236.1,5.9,539,Fiji region,2011-01-23 19:15:42.670,1,23,2011,TO
26.761999999999997,143.862,15.0,5.0,385,"Bonin Islands, Japan region",2011-01-23 22:13:48.000,1,23,2011,JP
26.662,143.725,13.8,5.1,400,"Bonin Islands, Japan region",2011-01-23 22:51:23.140,1,23,2011,JP
-56.468999999999994,-26.964000000000002,124.2,5.3,432,South Sandwich Islands region,2011-01-23 22:53:01.530,1,23,2011,GS
-19.204,-173.51,16.2,5.7,500,Tonga,2011-01-24 01:02:02.030,1,24,2011,TO
38.413000000000004,72.791,110.0,6.0,572,Tajikistan,2011-01-24 02:45:31.520,1,24,2011,TJ
11.902000000000001,143.38299999999998,35.0,5.1,400,south of the Mariana Islands,2011-01-24 04:39:14.370,1,24,2011,GU
-23.488000000000003,-179.755,543.1,5.0,385,south of the Fiji Islands,2011-01-24 08:37:45.320,1,24,2011,TO
-19.29,-176.33900000000003,15.0,5.1,400,Fiji region,2011-01-24 13:31:08.800,1,24,2011,TO
-22.588,69.675,10.0,5.2,416,Mid-Indian Ridge,2011-01-24 15:52:54.780,1,24,2011,MU
22.086,144.249,63.1,5.1,400,"Volcano Islands, Japan region",2011-01-25 02:18:37.620,1,25,2011,MP
35.126999999999995,141.11700000000002,14.0,5.1,401,"near the east coast of Honshu, Japan",2011-01-25 05:24:40.110,1,25,2011,JP
-52.913999999999994,22.343000000000004,10.0,5.1,400,south of Africa,2011-01-25 05:39:37.460,1,25,2011,ZA
12.232000000000001,-88.55,47.9,5.0,385,off the coast of El Salvador,2011-01-25 06:18:45.960,1,25,2011,SV
51.419,-176.085,34.4,5.0,385,"Andreanof Islands, Aleutian Islands, Alaska",2011-01-25 07:46:31.460,1,25,2011,US
27.65,143.35,10.0,5.0,385,"Bonin Islands, Japan region",2011-01-25 11:33:37.120,1,25,2011,JP
-30.064,-177.95,35.0,5.4,449,"Kermadec Islands, New Zealand",2011-01-25 13:18:10.210,1,25,2011,TO
-18.849,67.347,10.0,5.1,400,Mid-Indian Ridge,2011-01-25 23:57:29.090,1,25,2011,MU
-50.066,-114.319,10.0,5.0,385,southern East Pacific Rise,2011-01-26 02:55:07.570,1,26,2011,CL
9.888,108.242,10.0,5.0,396,South China Sea,2011-01-26 07:24:27.510,1,26,2011,VN
-5.476,147.132,220.6,5.3,432,"eastern New Guinea region, Papua New Guinea",2011-01-26 08:01:30.920,1,26,2011,PG
-18.889,168.21200000000002,10.0,5.0,385,Vanuatu,2011-01-26 12:05:45.730,1,26,2011,VU
2.205,96.829,23.0,6.1,572,"Simeulue, Indonesia",2011-01-26 15:42:29.590,1,26,2011,ID
-18.075,-174.695,129.0,5.0,385,Tonga,2011-01-26 15:58:32.360,1,26,2011,TO
-11.013,166.303,148.5,5.7,500,Santa Cruz Islands,2011-01-26 17:03:30.060,1,26,2011,SB
-15.562000000000001,-173.11700000000002,16.0,5.6,483,Tonga,2011-01-27 00:59:37.860,1,27,2011,TO
-11.655999999999999,166.356,82.9,5.5,465,Santa Cruz Islands,2011-01-27 04:00:36.990,1,27,2011,SB
28.195,59.015,10.0,6.2,592,southeastern Iran,2011-01-27 08:38:28.340,1,27,2011,IR
28.128,59.056999999999995,10.0,5.0,385,southeastern Iran,2011-01-27 08:43:26.730,1,27,2011,IR
-3.162,139.502,55.1,5.0,385,"Papua, Indonesia",2011-01-27 09:09:02.050,1,27,2011,ID
-38.501999999999995,175.99599999999998,158.1,5.6,487,North Island of New Zealand,2011-01-27 15:02:46.270,1,27,2011,NZ
27.105,143.364,10.1,5.0,385,"Bonin Islands, Japan region",2011-01-27 15:54:41.010,1,27,2011,JP
-19.209,-173.502,10.0,5.1,400,Tonga,2011-01-27 16:17:17.110,1,27,2011,TO
28.15,59.07,15.0,5.2,416,southeastern Iran,2011-01-28 04:20:36.300,1,28,2011,IR
-21.394000000000002,-178.752,572.5,5.3,432,Fiji region,2011-01-28 12:37:19.350,1,28,2011,TO
-19.160999999999998,-178.217,623.2,5.4,449,Fiji region,2011-01-28 12:41:02.850,1,28,2011,TO
-5.263999999999999,153.997,131.6,5.0,385,"New Ireland region, Papua New Guinea",2011-01-28 16:35:37.680,1,28,2011,PG
-41.018,80.834,10.0,5.2,416,Mid-Indian Ridge,2011-01-28 23:57:41.620,1,28,2011,TF
-41.17100000000001,80.747,10.0,5.1,400,Mid-Indian Ridge,2011-01-29 00:27:43.290,1,29,2011,TF
-17.892,-178.157,593.6,5.3,432,Fiji region,2011-01-29 02:41:18.940,1,29,2011,WF
-19.077,168.21400000000003,43.5,5.1,400,Vanuatu,2011-01-29 03:08:32.360,1,29,2011,VU
70.931,-6.657,15.0,6.2,591,Jan Mayen Island region,2011-01-29 06:55:27.520,1,29,2011,SJ
-62.964,-164.22099999999998,10.0,5.5,465,Pacific-Antarctic Ridge,2011-01-29 11:58:17.800,1,29,2011,NZ
21.613000000000003,142.95600000000002,321.2,5.5,465,Mariana Islands region,2011-01-29 12:38:59.990,1,29,2011,MP
19.683,-109.178,10.0,5.0,385,Revilla Gigedo Islands region,2011-01-29 18:01:02.000,1,29,2011,MX
-49.321000000000005,-10.741,10.0,5.0,385,southwestern Atlantic Ocean,2011-01-30 01:03:38.620,1,30,2011,SH
11.991,44.033,10.0,5.0,385,Gulf of Aden,2011-01-30 02:28:43.060,1,30,2011,DJ
-19.612000000000002,168.484,10.0,5.0,385,Vanuatu,2011-01-30 04:28:38.780,1,30,2011,VU
0.508,128.627,17.0,5.0,385,"Halmahera, Indonesia",2011-01-30 16:41:22.970,1,30,2011,ID
-14.969000000000001,167.22299999999998,100.5,5.2,416,Vanuatu,2011-01-30 18:27:38.520,1,30,2011,VU
-22.009,-175.622,76.0,6.0,557,Tonga region,2011-01-31 06:03:27.300,1,31,2011,TO
22.136,145.464,49.3,5.2,416,"Volcano Islands, Japan region",2011-01-31 14:46:34.280,1,31,2011,MP
22.674,144.474,35.0,5.0,385,"Volcano Islands, Japan region",2011-02-01 03:32:10.780,2,1,2011,MP
24.166,121.834,21.0,5.2,424,Taiwan,2011-02-01 08:16:32.020,2,1,2011,TW
10.622,94.109,21.8,5.6,482,"Andaman Islands, India region",2011-02-01 13:39:47.000,2,1,2011,IN
-11.415999999999999,162.835,35.0,5.0,385,Solomon Islands,2011-02-01 14:06:18.330,2,1,2011,SB
-28.059,-176.542,35.0,5.0,385,Kermadec Islands region,2011-02-01 17:43:43.810,2,1,2011,TO
-19.72,-175.84099999999998,242.1,5.2,416,Tonga,2011-02-01 17:50:40.270,2,1,2011,TO
54.974,-160.465,35.0,5.9,542,Alaska Peninsula,2011-02-02 00:38:17.780,2,2,2011,US
17.352999999999998,-63.471000000000004,160.8,5.0,410,"Saint Kitts and Nevis region, Leeward Islands",2011-02-02 12:40:59.230,2,2,2011,BQ
-42.658,-16.175,10.0,5.1,400,southern Mid-Atlantic Ridge,2011-02-02 13:47:51.320,2,2,2011,SH
-24.713,-179.997,512.0,5.3,432,south of the Fiji Islands,2011-02-02 16:38:10.640,2,2,2011,TO
-14.523,166.66,24.0,5.2,416,Vanuatu,2011-02-03 03:22:53.950,2,3,2011,VU
-18.621,-175.968,10.0,5.2,416,Tonga,2011-02-03 11:13:44.190,2,3,2011,TO
-61.945,153.549,10.0,5.4,449,Balleny Islands region,2011-02-03 14:51:01.550,2,3,2011,AU
-15.511,-173.06799999999998,10.0,5.9,536,Tonga,2011-02-03 20:25:15.890,2,3,2011,TO
-6.686,130.51,96.2,5.2,416,Banda Sea,2011-02-03 21:37:52.710,2,3,2011,ID
22.576999999999998,143.595,91.6,5.3,432,"Volcano Islands, Japan region",2011-02-04 04:16:37.090,2,4,2011,MP
-59.303999999999995,149.136,10.0,5.3,432,west of Macquarie Island,2011-02-04 08:06:57.790,2,4,2011,AU
-46.055,95.895,10.0,5.1,400,southeast Indian Ridge,2011-02-04 08:34:31.530,2,4,2011,AU
29.182,130.22799999999998,42.2,5.3,432,"Ryukyu Islands, Japan",2011-02-04 11:15:45.470,2,4,2011,JP
11.322000000000001,-62.146,149.1,5.2,475,"offshore Sucre, Venezuela",2011-02-04 12:16:54.840,2,4,2011,VE
24.618000000000002,94.68,85.0,6.2,710,Myanmar-India border region,2011-02-04 13:53:46.260,2,4,2011,IN
-14.187999999999999,166.459,10.0,5.9,536,Vanuatu,2011-02-04 14:20:55.490,2,4,2011,VU
-14.255999999999998,166.422,10.0,5.4,449,Vanuatu,2011-02-04 15:23:10.280,2,4,2011,VU
-14.164000000000001,166.58,10.0,5.2,416,Vanuatu,2011-02-04 16:21:10.870,2,4,2011,VU
34.77,140.352,65.3,5.1,434,"near the east coast of Honshu, Japan",2011-02-05 01:56:13.890,2,5,2011,JP
-14.158,166.56799999999998,42.5,5.0,385,Vanuatu,2011-02-05 08:37:22.430,2,5,2011,VU
-55.158,-130.497,10.0,5.0,385,Pacific-Antarctic Ridge,2011-02-05 08:42:41.850,2,5,2011,PN
-37.621,-73.44800000000001,28.9,5.8,527,"Bio-Bio, Chile",2011-02-05 16:11:39.680,2,5,2011,CL
-30.316999999999997,-177.56,7.3,5.1,400,"Kermadec Islands, New Zealand",2011-02-05 18:40:04.900,2,5,2011,TO
-14.315999999999999,166.65,23.4,5.0,385,Vanuatu,2011-02-06 01:06:49.760,2,6,2011,VU
-8.283,104.06700000000001,7.0,5.6,482,"southwest of Sumatra, Indonesia",2011-02-06 11:21:16.280,2,6,2011,ID
-13.56,166.512,43.5,5.0,385,Vanuatu,2011-02-06 13:46:55.020,2,6,2011,VU
-20.413,168.304,38.9,5.1,400,"Loyalty Islands, New Caledonia",2011-02-06 16:47:33.430,2,6,2011,NC
0.809,98.81700000000001,75.2,5.1,401,"Nias region, Indonesia",2011-02-07 08:08:36.420,2,7,2011,ID
-7.154,155.184,415.0,6.4,630,Solomon Islands,2011-02-07 19:53:42.910,2,7,2011,PG
-27.618000000000002,-69.521,94.9,5.4,456,"Atacama, Chile",2011-02-08 13:03:30.600,2,8,2011,CL
-9.996,113.88,50.3,5.2,421,"south of Java, Indonesia",2011-02-08 15:27:00.080,2,8,2011,ID
22.744,144.564,22.3,5.1,400,"Volcano Islands, Japan region",2011-02-08 15:34:30.600,2,8,2011,MP
27.353,143.191,10.0,5.0,385,"Bonin Islands, Japan region",2011-02-08 15:50:13.020,2,8,2011,JP
27.301,143.157,10.0,5.3,432,"Bonin Islands, Japan region",2011-02-08 16:42:40.600,2,8,2011,JP
